ID,PlayerID,Player,Position,Age,MarketValue,TransferFee,TeamLeftID,TeamLeft,TeamLeft2,LeagueLeftID,LeagueLeft,CountryLeft,TeamJoinedID,TeamJoined,TeamJoined2,LeagueJoinedID,LeagueJoined,CountryJoined
61,286415,Pau López,Goalkeeper,24,20000000,23500000,150,Real Betis,Real Betis Balompié,ES1,LaLiga,Spain,12,AS Roma,AS Roma,IT1,Serie A,Italy
62,357164,Rafael Leão,Centre-Forward,20,15000000,23000000,1082,LOSC Lille,LOSC Lille,FR1,Ligue 1,France,5,AC Milan,AC Milan,IT1,Serie A,Italy
63,253677,Tyrone Mings,Centre-Back,26,5000000,22300000,989,Bournemouth,AFC Bournemouth,GB1,Premier League,England,405,Aston Villa,Aston Villa,GB1,Premier League,England
64,134294,Danny Ings,Centre-Forward,27,15000000,22200000,31,Liverpool,Liverpool FC,GB1,Premier League,England,180,Southampton,Southampton FC,GB1,Premier League,England
65,240414,Alex Meret,Goalkeeper,22,25000000,22000000,410,Udinese Calcio,Udinese Calcio,IT1,Serie A,Italy,6195,SSC Napoli,SSC Napoli,IT1,Serie A,Italy
66,348795,Giovani Lo Celso,Central Midfield,23,50000000,22000000,583,Paris SG,Paris Saint-Germain,FR1,Ligue 1,France,150,Real Betis,Real Betis Balompié,ES1,LaLiga,Spain
67,346567,Luca Pellegrini,Left-Back,20,5000000,22000000,12,AS Roma,AS Roma,IT1,Serie A,Italy,506,Juventus,Juventus FC,IT1,Serie A,Italy
68,186368,Valentino Lazaro,Right Midfield,23,17000000,22000000,44,Hertha BSC,Hertha BSC,L1,Bundesliga,Germany,46,Inter,Inter Milan,IT1,Serie A,Italy
69,135617,Thiago Mendes,Defensive Midfield,27,25000000,22000000,1082,LOSC Lille,LOSC Lille,FR1,Ligue 1,France,1041,Olympique Lyon,Olympique Lyon,FR1,Ligue 1,France
70,95810,Kieran Trippier,Right-Back,29,35000000,22000000,148,Spurs,Tottenham Hotspur,GB1,Premier League,England,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain
71,217115,Neal Maupay,Centre-Forward,23,12000000,21900000,1148,Brentford,Brentford FC,GB2,Championship,England,1237,Brighton,Brighton & Hove Albion,GB1,Premier League,England
72,212847,Adam Webster,Centre-Back,24,9000000,21850000,698,Bristol City,Bristol City,GB2,Championship,England,1237,Brighton,Brighton & Hove Albion,GB1,Premier League,England
73,126716,Paco Alcácer,Centre-Forward,26,37000000,21000000,131,FC Barcelona,FC Barcelona,ES1,LaLiga,Spain,16,Bor. Dortmund,Borussia Dortmund,L1,Bundesliga,Germany
74,199248,Bryan Cristante,Central Midfield,24,25000000,21000000,800,Atalanta,Atalanta BC,IT1,Serie A,Italy,12,AS Roma,AS Roma,IT1,Serie A,Italy
75,355501,Amadou Diawara,Defensive Midfield,22,15000000,21000000,6195,SSC Napoli,SSC Napoli,IT1,Serie A,Italy,12,AS Roma,AS Roma,IT1,Serie A,Italy
76,129588,Dennis Praet,Central Midfield,25,24000000,21000000,1038,Sampdoria,UC Sampdoria,IT1,Serie A,Italy,1003,Leicester,Leicester City,GB1,Premier League,England
77,411295,Raphinha,Right Winger,22,8000000,21000000,336,Sporting CP,Sporting CP,PO1,Liga NOS,Portugal,273,Stade Rennais,Stade Rennais FC,FR1,Ligue 1,France
78,283196,Kasper Dolberg,Centre-Forward,22,18000000,20500000,610,Ajax,Ajax Amsterdam,NL1,Eredivisie,Netherlands,417,OGC Nice,OGC Nice,FR1,Ligue 1,France
79,256339,Emil Audero,Goalkeeper,22,15000000,20000000,506,Juventus,Juventus FC,IT1,Serie A,Italy,1038,Sampdoria,UC Sampdoria,IT1,Serie A,Italy
80,156501,Felipe,Centre-Back,30,20000000,20000000,720,FC Porto,FC Porto,PO1,Liga NOS,Portugal,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain
81,165895,Matteo Politano,Right Winger,26,30000000,20000000,6574,Sassuolo,US Sassuolo,IT1,Serie A,Italy,46,Inter,Inter Milan,IT1,Serie A,Italy
82,144028,Leandro Trossard,Left Winger,24,16000000,20000000,1184,KRC Genk,KRC Genk,BE1,Jupiler Pro League,Belgium,1237,Brighton,Brighton & Hove Albion,GB1,Premier League,England
83,162038,Raúl de Tomás,Second Striker,25,20000000,20000000,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain,294,Benfica,SL Benfica,PO1,Liga NOS,Portugal
84,339808,Theo Hernández,Left-Back,22,15000000,20000000,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain,5,AC Milan,AC Milan,IT1,Serie A,Italy
85,476352,Renan Lodi,Left-Back,21,4000000,20000000,679,Athletico-PR,Club Athletico Paranaense,BRA1,Série A,Brazil,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain
86,303259,Dodi Lukebakio,Right Winger,22,18000000,20000000,1010,Watford,Watford FC,GB1,Premier League,England,44,Hertha BSC,Hertha BSC,L1,Bundesliga,Germany
87,143891,Maximilian Philipp,Second Striker,25,13000000,20000000,16,Bor. Dortmund,Borussia Dortmund,L1,Bundesliga,Germany,121,Dinamo Moscow,Dinamo Moscow,RU1,Premier Liga,Russia
88,258027,Renato Sanches,Central Midfield,22,18000000,20000000,27,Bayern Munich,Bayern Munich,L1,Bundesliga,Germany,1082,LOSC Lille,LOSC Lille,FR1,Ligue 1,France
89,203496,Nabil Fekir,Attacking Midfield,26,60000000,19750000,1041,Olympique Lyon,Olympique Lyon,FR1,Ligue 1,France,150,Real Betis,Real Betis Balompié,ES1,LaLiga,Spain
90,298477,Oliver McBurnie,Centre-Forward,23,8000000,19100000,2288,Swansea,Swansea City,GB2,Championship,Wales,350,Sheffield Utd.,Sheffield United,GB1,Premier League,England
91,487465,Pedro Neto,Right Winger,19,2500000,18300000,398,Lazio,SS Lazio,IT1,Serie A,Italy,543,Wolves,Wolverhampton Wanderers,GB1,Premier League,England
93,74230,Pablo Sarabia,Right Winger,27,40000000,18000000,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain,583,Paris SG,Paris Saint-Germain,FR1,Ligue 1,France
94,340879,Merih Demiral,Centre-Back,21,15000000,18000000,6574,Sassuolo,US Sassuolo,IT1,Serie A,Italy,506,Juventus,Juventus FC,IT1,Serie A,Italy
95,406040,Ademola Lookman,Left Winger,21,20000000,18000000,29,Everton,Everton FC,GB1,Premier League,England,23826,RB Leipzig,RB Leipzig,L1,Bundesliga,Germany
96,265078,Patrick Cutrone,Centre-Forward,21,28000000,18000000,5,AC Milan,AC Milan,IT1,Serie A,Italy,543,Wolves,Wolverhampton Wanderers,GB1,Premier League,England
97,355861,Arnaut Danjuma,Left Winger,22,12000000,18000000,2282,Club Brugge,Club Brugge KV,BE1,Jupiler Pro League,Belgium,989,Bournemouth,AFC Bournemouth,GB1,Premier League,England
98,272642,Allan Saint-Maximin,Right Winger,22,25000000,18000000,417,OGC Nice,OGC Nice,FR1,Ligue 1,France,762,Newcastle,Newcastle United,GB1,Premier League,England
99,374139,Júnior Firpo,Left-Back,23,25000000,18000000,150,Real Betis,Real Betis Balompié,ES1,LaLiga,Spain,131,FC Barcelona,FC Barcelona,ES1,LaLiga,Spain
100,372267,Guus Til,Attacking Midfield,21,6000000,18000000,1090,AZ Alkmaar,AZ Alkmaar,NL1,Eredivisie,Netherlands,232,Spartak Moscow,Spartak Moscow,RU1,Premier Liga,Russia
101,315063,Nahitan Nández,Central Midfield,23,18000000,18000000,189,Boca Juniors,Club Atlético Boca Juniors,AR1N,Superliga,Argentina,1390,Cagliari Calcio,Cagliari Calcio,IT1,Serie A,Italy
102,249730,Guillermo Maripán,Centre-Back,25,15000000,18000000,1108,Alavés,Deportivo Alavés,ES1,LaLiga,Spain,162,Monaco,AS Monaco,FR1,Ligue 1,Monaco
103,145866,Munas Dabbur,Centre-Forward,27,15000000,17000000,409,RB Salzburg,Red Bull Salzburg,A1,Bundesliga,Austria,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain
104,319301,Daniel James,Left Winger,21,12000000,17000000,2288,Swansea,Swansea City,GB2,Championship,Wales,985,Man Utd,Manchester United,GB1,Premier League,England
