ID,Player,Position,Age,MarketValue,TeamLeft,LeagueLeft,TeamJoined,LeagueJoined,TransferFee,PlayerID,TeamLeftID,LeagueLeftID,TeamJoinedID,LeagueJoinedID,TeamLeft2,CountryLeft,TeamJoined2,CountryJoined
80,Felipe,Centre-Back,30,"20,00 mil. €",FC Porto,Liga NOS,Atlético Madrid,LaLiga,"20,00 mil. €",156501,720,PO1,13,ES1,FC Porto,Portugal,Atlético Madrid,Spain
81,Matteo Politano,Right Winger,26,"30,00 mil. €",Sassuolo,Serie A,Inter,Serie A,"20,00 mil. €",165895,6574,IT1,46,IT1,US Sassuolo,Italy,Inter Milan,Italy
82,Leandro Trossard,Left Winger,24,"16,00 mil. €",KRC Genk,Jupiler Pro League,Brighton,Premier League,"20,00 mil. €",144028,1184,BE1,1237,GB1,KRC Genk,Belgium,Brighton & Hove Albion,England
83,Raúl de Tomás,Second Striker,25,"20,00 mil. €",Real Madrid,LaLiga,Benfica,Liga NOS,"20,00 mil. €",162038,418,ES1,294,PO1,Real Madrid,Spain,SL Benfica,Portugal
84,Theo Hernández,Left-Back,22,"15,00 mil. €",Real Madrid,LaLiga,AC Milan,Serie A,"20,00 mil. €",339808,418,ES1,5,IT1,Real Madrid,Spain,AC Milan,Italy
85,Renan Lodi,Left-Back,21,"4,00 mil. €",Athletico-PR,Série A,Atlético Madrid,LaLiga,"20,00 mil. €",476352,679,BRA1,13,ES1,Club Athletico Paranaense,Brazil,Atlético Madrid,Spain
86,Dodi Lukebakio,Right Winger,22,"18,00 mil. €",Watford,Premier League,Hertha BSC,Bundesliga,"20,00 mil. €",303259,1010,GB1,44,L1,Watford FC,England,Hertha BSC,Germany
87,Maximilian Philipp,Second Striker,25,"13,00 mil. €",Bor. Dortmund,Bundesliga,Dinamo Moscow,Premier Liga,"20,00 mil. €",143891,16,L1,121,RU1,Borussia Dortmund,Germany,Dinamo Moscow,Russia
88,Renato Sanches,Central Midfield,22,"18,00 mil. €",Bayern Munich,Bundesliga,LOSC Lille,Ligue 1,"20,00 mil. €",258027,27,L1,1082,FR1,Bayern Munich,Germany,LOSC Lille,France
89,Nabil Fekir,Attacking Midfield,26,"60,00 mil. €",Olympique Lyon,Ligue 1,Real Betis,LaLiga,"19,75 mil. €",203496,1041,FR1,150,ES1,Olympique Lyon,France,Real Betis Balompié,Spain
90,Oliver McBurnie,Centre-Forward,23,"8,00 mil. €",Swansea,Championship,Sheffield Utd.,Premier League,"19,10 mil. €",298477,2288,GB2,350,GB1,Swansea City,Wales,Sheffield United,England
91,Pedro Neto,Right Winger,19,"2,50 mil. €",Lazio,Serie A,Wolves,Premier League,"18,30 mil. €",487465,398,IT1,543,GB1,SS Lazio,Italy,Wolverhampton Wanderers,England
92,Salomón Rondón,Centre-Forward,30,"15,00 mil. €",West Brom,Championship,DL Yifang,Super League,"18,27 mil. €",80197,984,GB2,33304,CSL,West Bromwich Albion,England,Dalian Yifang,China
93,Pablo Sarabia,Right Winger,27,"40,00 mil. €",Sevilla FC,LaLiga,Paris SG,Ligue 1,"18,00 mil. €",74230,368,ES1,583,FR1,Sevilla FC,Spain,Paris Saint-Germain,France
94,Merih Demiral,Centre-Back,21,"15,00 mil. €",Sassuolo,Serie A,Juventus,Serie A,"18,00 mil. €",340879,6574,IT1,506,IT1,US Sassuolo,Italy,Juventus FC,Italy
95,Ademola Lookman,Left Winger,21,"20,00 mil. €",Everton,Premier League,RB Leipzig,Bundesliga,"18,00 mil. €",406040,29,GB1,23826,L1,Everton FC,England,RB Leipzig,Germany
96,Patrick Cutrone,Centre-Forward,21,"28,00 mil. €",AC Milan,Serie A,Wolves,Premier League,"18,00 mil. €",265078,5,IT1,543,GB1,AC Milan,Italy,Wolverhampton Wanderers,England
97,Arnaut Danjuma,Left Winger,22,"12,00 mil. €",Club Brugge,Jupiler Pro League,Bournemouth,Premier League,"18,00 mil. €",355861,2282,BE1,989,GB1,Club Brugge KV,Belgium,AFC Bournemouth,England
98,Allan Saint-Maximin,Right Winger,22,"25,00 mil. €",OGC Nice,Ligue 1,Newcastle,Premier League,"18,00 mil. €",272642,417,FR1,762,GB1,OGC Nice,France,Newcastle United,England
99,Júnior Firpo,Left-Back,23,"25,00 mil. €",Real Betis,LaLiga,FC Barcelona,LaLiga,"18,00 mil. €",374139,150,ES1,131,ES1,Real Betis Balompié,Spain,FC Barcelona,Spain
100,Guus Til,Attacking Midfield,21,"6,00 mil. €",AZ Alkmaar,Eredivisie,Spartak Moscow,Premier Liga,"18,00 mil. €",372267,1090,NL1,232,RU1,AZ Alkmaar,Netherlands,Spartak Moscow,Russia
101,Nahitan Nández,Central Midfield,23,"18,00 mil. €",Boca Juniors,Superliga,Cagliari Calcio,Serie A,"18,00 mil. €",315063,189,AR1N,1390,IT1,Club Atlético Boca Juniors,Argentina,Cagliari Calcio,Italy
102,Guillermo Maripán,Centre-Back,25,"15,00 mil. €",Alavés,LaLiga,Monaco,Ligue 1,"18,00 mil. €",249730,1108,ES1,162,FR1,Deportivo Alavés,Spain,AS Monaco,Monaco
103,Munas Dabbur,Centre-Forward,27,"15,00 mil. €",RB Salzburg,Bundesliga,Sevilla FC,LaLiga,"17,00 mil. €",145866,409,A1,368,ES1,Red Bull Salzburg,Austria,Sevilla FC,Spain
104,Daniel James,Left Winger,21,"12,00 mil. €",Swansea,Championship,Man Utd,Premier League,"17,00 mil. €",319301,2288,GB2,985,GB1,Swansea City,Wales,Manchester United,England
105,Carlos Vinícius,Centre-Forward,24,"7,00 mil. €",SSC Napoli,Serie A,Benfica,Liga NOS,"17,00 mil. €",525287,6195,IT1,294,PO1,SSC Napoli,Italy,SL Benfica,Portugal
106,Douglas Luiz,Central Midfield,21,"2,50 mil. €",Man City,Premier League,Aston Villa,Premier League,"16,80 mil. €",447661,281,GB1,405,GB1,Manchester City,England,Aston Villa,England
107,Che Adams,Centre-Forward,23,"7,00 mil. €",Birmingham,Championship,Southampton,Premier League,"16,70 mil. €",346779,337,GB2,180,GB1,Birmingham City,England,Southampton FC,England
108,Stefano Sturaro,Central Midfield,26,"10,00 mil. €",Juventus,Serie A,Genoa,Serie A,"16,50 mil. €",167859,506,IT1,252,IT1,Juventus FC,Italy,Genoa CFC,Italy
109,Philip Billing,Central Midfield,23,"7,00 mil. €",Huddersfield,Championship,Bournemouth,Premier League,"16,50 mil. €",320411,1110,GB2,989,GB1,Huddersfield Town,England,AFC Bournemouth,England
110,Yusuf Yazici,Attacking Midfield,22,"13,00 mil. €",Trabzonspor,Süper Lig,LOSC Lille,Ligue 1,"16,50 mil. €",386726,449,TR1,1082,FR1,Trabzonspor,Turkey,LOSC Lille,France
111,Stephan El Shaarawy,Left Winger,26,"30,00 mil. €",AS Roma,Serie A,SH Shenhua,Super League,"16,00 mil. €",94529,12,IT1,3183,CSL,AS Roma,Italy,Shanghai Greenland Shenhua,China
112,Eljif Elmas,Central Midfield,20,"10,00 mil. €",Fenerbahce,Süper Lig,SSC Napoli,Serie A,"16,00 mil. €",400489,36,TR1,6195,IT1,Fenerbahce SK,Turkey,SSC Napoli,Italy
113,Ismaël Bennacer,Defensive Midfield,21,"12,00 mil. €",FC Empoli,Serie B,AC Milan,Serie A,"16,00 mil. €",351816,749,IT2,5,IT1,FC Empoli,Italy,AC Milan,Italy
114,Giovani Lo Celso,Central Midfield,23,"50,00 mil. €",Real Betis,LaLiga,Spurs,Premier League,"Loan fee:16,00 mil. €",348795,150,ES1,148,GB1,Real Betis Balompié,Spain,Tottenham Hotspur,England
115,Moussa Djenepo,Left Winger,21,"12,00 mil. €",Standard Liège,Jupiler Pro League,Southampton,Premier League,"15,70 mil. €",485424,3057,BE1,180,GB1,Standard Liège,Belgium,Southampton FC,England
116,Nikola Vlasic,Attacking Midfield,22,"20,00 mil. €",Everton,Premier League,CSKA Moscow,Premier Liga,"15,70 mil. €",293200,29,GB1,2410,RU1,Everton FC,England,CSKA Moscow,Russia
117,Quincy Promes,Left Winger,27,"18,00 mil. €",Sevilla FC,LaLiga,Ajax,Eredivisie,"15,70 mil. €",182381,368,ES1,610,NL1,Sevilla FC,Spain,Ajax Amsterdam,Netherlands
118,Matt Targett,Left-Back,24,"7,00 mil. €",Southampton,Premier League,Aston Villa,Premier League,"15,50 mil. €",250478,180,GB1,405,GB1,Southampton FC,England,Aston Villa,England
119,M'Baye Niang,Centre-Forward,24,"12,00 mil. €",Torino,Serie A,Stade Rennais,Ligue 1,"15,00 mil. €",157501,416,IT1,273,FR1,Torino FC,Italy,Stade Rennais FC,France
